Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BAJAJFINSV,03-Jun-2024,27-Jun-2024,CE,1280.00,-,-,-,389.15,-,301.80,-,-,-,-,-,1575.80
BAJAJFINSV,03-Jun-2024,27-Jun-2024,CE,1320.00,-,-,-,351.60,-,262.20,-,-,-,-,-,1575.80
BAJAJFINSV,03-Jun-2024,27-Jun-2024,CE,1360.00,-,-,-,315.05,-,222.90,-,-,-,-,-,1575.80
BAJAJFINSV,03-Jun-2024,27-Jun-2024,CE,1380.00,-,-,-,296.95,-,203.55,-,-,-,-,-,1575.80
BAJAJFINSV,03-Jun-2024,27-Jun-2024,CE,1400.00,188.75,188.75,188.75,188.75,188.75,184.50,2.00,15.89,1.89,4000.00,-1000.00,1575.80
BAJAJFINSV,03-Jun-2024,27-Jun-2024,CE,1420.00,-,-,-,260.45,-,165.85,-,-,-,-,-,1575.80
BAJAJFINSV,03-Jun-2024,27-Jun-2024,CE,1440.00,-,-,-,118.95,118.95,147.70,-,-,-,1500.00,-,1575.80
BAJAJFINSV,03-Jun-2024,27-Jun-2024,CE,1460.00,134.95,139.65,134.95,135.00,135.00,130.30,7.00,55.90,4.80,5000.00,1500.00,1575.80
BAJAJFINSV,03-Jun-2024,27-Jun-2024,CE,1480.00,112.25,122.15,112.25,121.50,121.50,113.70,4.00,31.95,2.35,1000.00,500.00,1575.80
BAJAJFINSV,03-Jun-2024,27-Jun-2024,CE,1500.00,97.95,107.35,91.70,102.60,104.40,102.60,181.00,1448.00,90.50,40000.00,-21500.00,1575.80
BAJAJFINSV,03-Jun-2024,27-Jun-2024,CE,1520.00,81.00,91.15,77.25,88.40,88.30,88.40,232.00,1862.08,98.88,57000.00,-17500.00,1575.80
BAJAJFINSV,03-Jun-2024,27-Jun-2024,CE,1540.00,63.00,77.50,60.75,74.55,74.85,74.55,712.00,5738.05,255.65,122000.00,-51000.00,1575.80
BAJAJFINSV,03-Jun-2024,27-Jun-2024,CE,1560.00,52.90,65.00,50.35,61.60,63.00,61.60,1494.00,12103.26,450.06,130000.00,-100500.00,1575.80
BAJAJFINSV,03-Jun-2024,27-Jun-2024,CE,1580.00,53.00,53.30,42.20,50.80,52.00,50.80,1472.00,11991.87,363.07,243000.00,85500.00,1575.80
BAJAJFINSV,03-Jun-2024,27-Jun-2024,CE,1600.00,50.25,50.25,33.45,41.10,42.30,41.10,3530.00,28944.30,704.30,482000.00,-169500.00,1575.80
BAJAJFINSV,03-Jun-2024,27-Jun-2024,CE,1620.00,29.55,34.55,27.90,32.90,33.95,32.90,876.00,7233.87,138.27,202000.00,-25000.00,1575.80
BAJAJFINSV,03-Jun-2024,27-Jun-2024,CE,1640.00,23.50,27.35,22.05,26.25,26.50,26.25,637.00,5303.10,79.70,141000.00,1500.00,1575.80
BAJAJFINSV,03-Jun-2024,27-Jun-2024,CE,1660.00,21.00,21.70,16.85,20.85,21.15,20.85,749.00,6290.40,73.70,230500.00,6500.00,1575.80
BAJAJFINSV,03-Jun-2024,27-Jun-2024,CE,1680.00,24.85,24.85,14.15,16.85,16.90,16.85,367.00,3111.44,28.64,55500.00,4500.00,1575.80
BAJAJFINSV,03-Jun-2024,27-Jun-2024,CE,1700.00,13.00,14.00,11.15,13.10,13.30,13.10,1645.00,14083.86,101.36,413500.00,10500.00,1575.80
BAJAJFINSV,03-Jun-2024,27-Jun-2024,CE,1720.00,11.00,11.30,8.80,10.40,10.40,10.40,604.00,5223.94,29.54,105500.00,70000.00,1575.80
BAJAJFINSV,03-Jun-2024,27-Jun-2024,CE,1740.00,9.05,9.05,7.25,8.40,8.85,8.40,212.00,1852.87,8.47,39500.00,14500.00,1575.80
BAJAJFINSV,03-Jun-2024,27-Jun-2024,CE,1760.00,6.80,8.00,5.85,6.85,7.15,6.85,344.00,3038.25,11.05,116500.00,54000.00,1575.80
BAJAJFINSV,03-Jun-2024,27-Jun-2024,CE,1800.00,9.90,9.90,3.95,4.55,4.80,4.55,1028.00,9276.04,24.04,392500.00,35000.00,1575.80
BAJAJFINSV,03-Jun-2024,27-Jun-2024,CE,1820.00,3.80,3.85,3.30,3.60,3.75,3.60,56.00,510.60,1.00,24500.00,10000.00,1575.80
BAJAJFINSV,03-Jun-2024,27-Jun-2024,CE,1840.00,3.35,4.05,2.55,2.85,3.15,2.85,614.00,5658.20,9.40,109000.00,88000.00,1575.80
BAJAJFINSV,03-Jun-2024,27-Jun-2024,CE,1900.00,1.95,2.00,1.25,1.40,1.50,1.40,90.00,855.66,0.66,46000.00,28500.00,1575.80
BAJAJFINSV,03-Jun-2024,27-Jun-2024,CE,1940.00,2.00,2.00,1.70,1.70,1.70,1.70,13.00,126.21,0.11,16000.00,6500.00,1575.80
BAJAJFINSV,03-Jun-2024,25-Jul-2024,CE,1280.00,-,-,-,401.00,-,310.30,-,-,-,-,-,1575.80
BAJAJFINSV,03-Jun-2024,25-Jul-2024,CE,1320.00,-,-,-,363.40,-,272.10,-,-,-,-,-,1575.80
BAJAJFINSV,03-Jun-2024,25-Jul-2024,CE,1360.00,-,-,-,326.70,-,235.00,-,-,-,-,-,1575.80
BAJAJFINSV,03-Jun-2024,25-Jul-2024,CE,1380.00,-,-,-,173.00,-,217.05,-,-,-,-,-,1575.80
BAJAJFINSV,03-Jun-2024,25-Jul-2024,CE,1400.00,-,-,-,291.20,-,199.55,-,-,-,-,-,1575.80
BAJAJFINSV,03-Jun-2024,25-Jul-2024,CE,1420.00,-,-,-,141.75,-,182.60,-,-,-,-,-,1575.80
BAJAJFINSV,03-Jun-2024,25-Jul-2024,CE,1440.00,-,-,-,257.15,-,166.25,-,-,-,-,-,1575.80
