Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
INFY,01-Jul-2024,25-Jul-2024,CE,1200.00,-,-,-,337.20,337.20,396.35,-,-,-,400.00,-,1590.80
INFY,01-Jul-2024,25-Jul-2024,CE,1300.00,284.50,284.50,284.50,284.50,284.50,296.90,1.00,6.34,1.14,400.00,-,1590.80
INFY,01-Jul-2024,25-Jul-2024,CE,1320.00,265.00,265.00,265.00,265.00,265.00,277.05,1.00,6.34,1.06,6000.00,-,1590.80
INFY,01-Jul-2024,25-Jul-2024,CE,1360.00,-,-,-,215.00,215.00,237.55,-,-,-,6000.00,-,1590.80
INFY,01-Jul-2024,25-Jul-2024,CE,1380.00,-,-,-,168.25,168.25,218.00,-,-,-,800.00,-,1590.80
INFY,01-Jul-2024,25-Jul-2024,CE,1400.00,181.90,206.00,177.10,195.05,195.05,195.05,69.00,438.06,51.66,324000.00,2000.00,1590.80
INFY,01-Jul-2024,25-Jul-2024,CE,1420.00,-,-,-,160.35,160.25,179.60,-,-,-,68800.00,-,1590.80
INFY,01-Jul-2024,25-Jul-2024,CE,1440.00,134.55,167.80,134.55,153.45,153.45,153.45,15.00,95.34,8.94,123600.00,800.00,1590.80
INFY,01-Jul-2024,25-Jul-2024,CE,1460.00,117.75,147.00,117.75,139.05,139.05,139.05,55.00,350.58,29.38,42400.00,8400.00,1590.80
INFY,01-Jul-2024,25-Jul-2024,CE,1480.00,102.15,131.25,102.15,121.75,119.70,121.75,34.00,217.45,16.17,31200.00,-1200.00,1590.80
INFY,01-Jul-2024,25-Jul-2024,CE,1500.00,86.90,114.85,86.55,104.35,102.50,104.35,1222.00,7836.84,504.84,404000.00,-108400.00,1590.80
INFY,01-Jul-2024,25-Jul-2024,CE,1520.00,72.25,98.80,71.55,88.70,87.85,88.70,924.00,5929.83,311.91,213600.00,-108400.00,1590.80
INFY,01-Jul-2024,25-Jul-2024,CE,1540.00,59.35,83.90,58.85,74.60,73.70,74.60,1440.00,9302.23,431.83,352800.00,46400.00,1590.80
INFY,01-Jul-2024,25-Jul-2024,CE,1560.00,51.85,70.55,48.50,62.05,64.00,62.05,4926.00,31970.39,1232.15,1170800.00,212000.00,1590.80
INFY,01-Jul-2024,25-Jul-2024,CE,1580.00,42.90,58.35,39.00,50.60,50.00,50.60,8074.00,52670.36,1642.68,888800.00,-36400.00,1590.80
INFY,01-Jul-2024,25-Jul-2024,CE,1600.00,34.00,47.80,31.00,41.10,40.60,41.10,16423.00,107882.85,2775.65,1797200.00,286400.00,1590.80
INFY,01-Jul-2024,25-Jul-2024,CE,1620.00,25.45,38.45,24.25,32.40,32.00,32.40,6722.00,44451.90,893.34,616000.00,282800.00,1590.80
INFY,01-Jul-2024,25-Jul-2024,CE,1640.00,18.60,30.40,18.60,25.25,25.00,25.25,4281.00,28526.65,443.29,506800.00,35600.00,1590.80
INFY,01-Jul-2024,25-Jul-2024,CE,1660.00,15.00,23.85,14.40,19.50,19.10,19.50,2771.00,18628.24,228.80,385200.00,88400.00,1590.80
INFY,01-Jul-2024,25-Jul-2024,CE,1680.00,12.45,18.50,11.00,15.00,14.65,15.00,2023.00,13724.17,129.61,450800.00,90400.00,1590.80
INFY,01-Jul-2024,25-Jul-2024,CE,1700.00,9.05,14.50,8.35,11.45,11.30,11.45,6826.00,46747.56,330.76,1415200.00,229200.00,1590.80
INFY,01-Jul-2024,25-Jul-2024,CE,1720.00,6.85,11.05,6.60,8.50,8.30,8.50,1254.00,8673.96,46.44,296800.00,84000.00,1590.80
INFY,01-Jul-2024,25-Jul-2024,CE,1760.00,4.00,6.65,4.00,4.80,4.55,4.80,1339.00,9454.89,28.33,349200.00,50000.00,1590.80
INFY,01-Jul-2024,25-Jul-2024,CE,1800.00,2.65,4.10,2.20,2.80,2.60,2.80,2862.00,20644.96,38.56,563600.00,192800.00,1590.80
INFY,01-Jul-2024,29-Aug-2024,CE,1320.00,-,-,-,158.50,-,288.75,-,-,-,-,-,1590.80
INFY,01-Jul-2024,29-Aug-2024,CE,1360.00,-,-,-,131.00,-,251.55,-,-,-,-,-,1590.80
INFY,01-Jul-2024,29-Aug-2024,CE,1400.00,-,-,-,106.65,-,215.75,-,-,-,-,-,1590.80
