Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
JINDALSTEL,01-Jan-2024,25-Jan-2024,CE,480.00,270.00,270.00,270.00,270.00,270.00,270.00,4.00,37.50,13.50,5000.00,5000.00,744.00
JINDALSTEL,01-Jan-2024,25-Jan-2024,CE,490.00,-,-,-,168.95,-,256.10,-,-,-,-,-,744.00
JINDALSTEL,01-Jan-2024,25-Jan-2024,CE,500.00,-,-,-,160.30,-,246.15,-,-,-,-,-,744.00
JINDALSTEL,01-Jan-2024,25-Jan-2024,CE,510.00,-,-,-,151.85,-,236.20,-,-,-,-,-,744.00
JINDALSTEL,01-Jan-2024,25-Jan-2024,CE,520.00,-,-,-,143.60,-,226.25,-,-,-,-,-,744.00
JINDALSTEL,01-Jan-2024,25-Jan-2024,CE,530.00,-,-,-,135.55,-,216.30,-,-,-,-,-,744.00
JINDALSTEL,01-Jan-2024,25-Jan-2024,CE,540.00,-,-,-,127.75,-,206.35,-,-,-,-,-,744.00
JINDALSTEL,01-Jan-2024,25-Jan-2024,CE,550.00,-,-,-,120.20,-,196.40,-,-,-,-,-,744.00
JINDALSTEL,01-Jan-2024,25-Jan-2024,CE,560.00,-,-,-,112.90,-,186.45,-,-,-,-,-,744.00
JINDALSTEL,01-Jan-2024,25-Jan-2024,CE,570.00,-,-,-,105.80,-,176.50,-,-,-,-,-,744.00
JINDALSTEL,01-Jan-2024,25-Jan-2024,CE,580.00,-,-,-,99.05,-,166.55,-,-,-,-,-,744.00
JINDALSTEL,01-Jan-2024,25-Jan-2024,CE,590.00,-,-,-,92.50,-,156.65,-,-,-,-,-,744.00
JINDALSTEL,01-Jan-2024,25-Jan-2024,CE,600.00,-,-,-,137.00,137.00,146.80,-,-,-,3750.00,-,744.00
JINDALSTEL,01-Jan-2024,25-Jan-2024,CE,610.00,-,-,-,80.35,-,136.95,-,-,-,-,-,744.00
JINDALSTEL,01-Jan-2024,25-Jan-2024,CE,620.00,-,-,-,123.00,123.00,127.20,-,-,-,7500.00,-,744.00
JINDALSTEL,01-Jan-2024,25-Jan-2024,CE,630.00,-,-,-,69.35,-,117.55,-,-,-,-,-,744.00
JINDALSTEL,01-Jan-2024,25-Jan-2024,CE,640.00,112.50,112.50,112.50,112.50,112.50,112.50,1.00,9.41,1.41,1250.00,1250.00,744.00
