Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
SBIN,02-Sep-2024,26-Sep-2024,CE,1000.00,0.40,0.40,0.30,0.30,0.30,0.30,145.00,1087.88,0.38,199500.00,29250.00,815.60
SBIN,02-Sep-2024,26-Sep-2024,CE,700.00,120.00,128.00,117.10,128.00,128.00,126.20,7.00,43.12,6.37,62250.00,750.00,815.60
SBIN,02-Sep-2024,26-Sep-2024,CE,720.00,-,-,-,105.00,105.00,107.20,-,-,-,16500.00,-,815.60
SBIN,02-Sep-2024,26-Sep-2024,CE,740.00,-,-,-,84.60,84.60,89.00,-,-,-,3000.00,-,815.60
SBIN,02-Sep-2024,26-Sep-2024,CE,750.00,73.30,80.95,70.00,77.45,77.10,77.45,144.00,892.10,82.10,139500.00,-45750.00,815.60
SBIN,02-Sep-2024,26-Sep-2024,CE,760.00,64.35,70.90,61.00,68.35,68.25,68.35,27.00,167.16,13.26,154500.00,1500.00,815.60
SBIN,02-Sep-2024,26-Sep-2024,CE,770.00,55.85,62.05,51.60,58.90,58.55,58.90,95.00,589.16,40.53,87000.00,-750.00,815.60
SBIN,02-Sep-2024,26-Sep-2024,CE,780.00,47.05,53.30,42.50,50.10,49.60,50.10,133.00,825.74,47.69,219750.00,-9000.00,815.60
SBIN,02-Sep-2024,26-Sep-2024,CE,790.00,38.65,44.65,34.55,41.95,41.40,41.95,238.00,1480.05,69.90,149250.00,-5250.00,815.60
SBIN,02-Sep-2024,26-Sep-2024,CE,800.00,32.05,37.15,28.00,34.10,33.65,34.10,3870.00,24162.97,942.97,1521750.00,-216750.00,815.60
SBIN,02-Sep-2024,26-Sep-2024,CE,810.00,25.60,30.00,22.05,27.15,26.85,27.15,5942.00,37226.05,1128.40,1480500.00,-180000.00,815.60
SBIN,02-Sep-2024,26-Sep-2024,CE,820.00,20.05,23.70,17.00,21.30,21.05,21.30,18719.00,117984.02,2862.17,6052500.00,-921750.00,815.60
SBIN,02-Sep-2024,26-Sep-2024,CE,830.00,15.20,18.25,12.65,16.25,16.05,16.25,12927.00,82014.66,1544.09,3651750.00,1282500.00,815.60
SBIN,02-Sep-2024,26-Sep-2024,CE,840.00,11.05,13.65,9.25,12.10,11.85,12.10,7093.00,45299.42,613.52,2270250.00,51750.00,815.60
SBIN,02-Sep-2024,26-Sep-2024,CE,850.00,8.05,10.05,6.80,8.85,8.70,8.85,8509.00,54779.59,534.71,3906000.00,91500.00,815.60
SBIN,02-Sep-2024,26-Sep-2024,CE,860.00,5.85,7.20,4.90,6.35,6.25,6.35,4218.00,27395.12,189.02,1905000.00,-13500.00,815.60
