Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
SBIN,01-Apr-2024,25-Apr-2024,CE,620.00,134.65,139.00,134.65,138.75,139.00,138.75,14.00,159.16,28.96,97500.00,19500.00,758.30
SBIN,01-Apr-2024,25-Apr-2024,CE,630.00,-,-,-,115.90,115.90,131.45,-,-,-,12000.00,-,758.30
SBIN,01-Apr-2024,25-Apr-2024,CE,640.00,123.55,124.50,117.20,120.15,120.15,121.55,22.00,251.49,40.29,60000.00,-4500.00,758.30
SBIN,01-Apr-2024,25-Apr-2024,CE,650.00,108.55,113.75,108.00,112.00,112.00,112.00,16.00,182.71,26.71,81000.00,-,758.30
SBIN,01-Apr-2024,25-Apr-2024,CE,660.00,101.00,101.00,100.00,100.75,100.75,100.75,5.00,57.05,7.55,18000.00,4500.00,758.30
SBIN,01-Apr-2024,25-Apr-2024,CE,665.00,-,-,-,95.65,-,97.20,-,-,-,-,-,758.30
SBIN,01-Apr-2024,25-Apr-2024,CE,670.00,-,-,-,85.00,85.00,92.40,-,-,-,39000.00,-,758.30
SBIN,01-Apr-2024,25-Apr-2024,CE,675.00,-,-,-,80.75,80.75,87.65,-,-,-,1500.00,-,758.30
SBIN,01-Apr-2024,25-Apr-2024,CE,680.00,83.15,83.95,81.85,83.95,83.95,83.00,8.00,91.54,9.94,66000.00,-1500.00,758.30
SBIN,01-Apr-2024,25-Apr-2024,CE,685.00,-,-,-,79.25,-,78.35,-,-,-,-,-,758.30
SBIN,01-Apr-2024,25-Apr-2024,CE,690.00,71.15,71.15,71.15,71.15,71.15,73.80,1.00,11.42,1.07,25500.00,-,758.30
SBIN,01-Apr-2024,25-Apr-2024,CE,695.00,-,-,-,71.60,-,69.35,-,-,-,-,-,758.30
SBIN,01-Apr-2024,25-Apr-2024,CE,700.00,64.80,66.95,58.40,63.55,63.55,63.55,147.00,1682.12,138.62,735000.00,-31500.00,758.30
SBIN,01-Apr-2024,25-Apr-2024,CE,705.00,-,-,-,43.50,43.25,60.70,-,-,-,13500.00,-,758.30
SBIN,01-Apr-2024,25-Apr-2024,CE,710.00,56.15,56.15,50.65,53.60,53.60,56.55,8.00,91.66,6.46,49500.00,-,758.30
SBIN,01-Apr-2024,25-Apr-2024,CE,715.00,51.40,51.40,51.35,51.35,51.35,52.50,2.00,22.99,1.54,25500.00,-,758.30
SBIN,01-Apr-2024,25-Apr-2024,CE,720.00,48.00,48.00,42.00,46.70,46.20,46.70,211.00,2423.16,144.36,1117500.00,211500.00,758.30
SBIN,01-Apr-2024,25-Apr-2024,CE,725.00,40.35,42.35,40.35,42.10,41.85,42.10,7.00,80.45,4.33,25500.00,1500.00,758.30
SBIN,01-Apr-2024,25-Apr-2024,CE,730.00,39.55,40.90,34.00,38.05,37.45,38.05,253.00,2912.77,142.42,517500.00,10500.00,758.30
SBIN,01-Apr-2024,25-Apr-2024,CE,735.00,37.45,37.45,30.80,34.25,33.75,34.25,83.00,957.27,42.20,109500.00,-28500.00,758.30
SBIN,01-Apr-2024,25-Apr-2024,CE,740.00,33.00,34.65,27.35,30.85,30.20,30.85,1136.00,13127.73,518.13,1462500.00,-34500.00,758.30
SBIN,01-Apr-2024,25-Apr-2024,CE,745.00,28.80,30.15,24.00,27.35,27.05,27.35,968.00,11210.91,393.51,237000.00,-124500.00,758.30
SBIN,01-Apr-2024,25-Apr-2024,CE,750.00,24.95,27.50,21.30,24.10,23.95,24.10,4770.00,55387.51,1725.01,3013500.00,-421500.00,758.30
SBIN,01-Apr-2024,25-Apr-2024,CE,755.00,23.45,24.15,18.65,21.25,21.00,21.25,2176.00,25329.93,686.73,480000.00,225000.00,758.30
SBIN,01-Apr-2024,25-Apr-2024,CE,760.00,18.00,21.50,16.25,18.65,18.30,18.65,11029.00,128832.71,3102.11,2922000.00,1308000.00,758.30
SBIN,01-Apr-2024,25-Apr-2024,CE,765.00,17.95,18.65,14.05,16.15,16.00,16.15,3323.00,38942.36,810.94,370500.00,201000.00,758.30
SBIN,01-Apr-2024,25-Apr-2024,CE,770.00,15.95,16.30,12.10,13.90,13.75,13.90,6781.00,79763.38,1442.83,1492500.00,456000.00,758.30
SBIN,01-Apr-2024,25-Apr-2024,CE,775.00,13.50,14.05,10.40,11.90,11.70,11.90,1907.00,22513.83,344.96,456000.00,123000.00,758.30
SBIN,01-Apr-2024,25-Apr-2024,CE,780.00,10.20,12.15,8.85,10.05,10.15,10.05,5475.00,64919.32,861.82,2277000.00,615000.00,758.30
SBIN,01-Apr-2024,25-Apr-2024,CE,785.00,9.75,10.50,7.55,8.70,8.55,8.70,1251.00,14898.46,167.93,283500.00,93000.00,758.30
